0.0,1594204503.000,39.994139,-0.068957,143.000,0.000,44.0,6,5
0.03399999999999892,1594204503.000,39.994139,-0.068957,143.000,0.000,44.0,6,5
0.9660000000000011,1594204504.000,39.994140,-0.068978,147.000,0.000,39.0,6,4
0.9930000000000021,1594204504.000,39.994140,-0.068978,147.000,0.000,39.0,6,4
1.975999999999999,1594204505.000,39.994068,-0.069031,149.000,0.000,32.0,6,4
2.003999999999998,1594204505.000,39.994068,-0.069031,149.000,0.000,32.0,6,4
2.953000000000003,1594204506.000,39.994031,-0.069068,143.000,262.800,30.0,6,4
2.9650000000000034,1594204506.000,39.994031,-0.069068,143.000,262.800,30.0,6,4
3.977000000000004,1594204507.000,39.994029,-0.069076,140.000,257.800,34.0,6,5
3.9919999999999973,1594204507.000,39.994029,-0.069076,140.000,257.800,34.0,6,5
4.984999999999999,1594204508.000,39.994028,-0.069073,140.000,246.700,32.0,6,5
4.991999999999997,1594204508.000,39.994028,-0.069073,140.000,246.700,32.0,6,5
5.997,1594204509.000,39.994027,-0.069072,138.000,243.000,34.0,6,5
6.0120000000000005,1594204509.000,39.994027,-0.069072,138.000,243.000,34.0,6,5
29.990000000000002,1594204533.000,39.994302,-0.069400,131.000,338.200,33.0,7,5
30.003000000000007,1594204533.000,39.994302,-0.069400,131.000,338.200,33.0,7,5
30.985000000000007,1594204534.000,39.994288,-0.069420,129.000,339.200,35.0,7,4
30.997999999999998,1594204534.000,39.994288,-0.069420,129.000,339.200,35.0,7,4
31.994000000000007,1594204535.000,39.994288,-0.069453,128.000,337.300,38.0,7,4
32.001,1594204535.000,39.994288,-0.069453,128.000,337.300,38.0,7,4
32.972,1594204536.000,39.994319,-0.069480,127.000,337.700,36.0,7,4
32.99100000000001,1594204536.000,39.994319,-0.069480,127.000,337.700,36.0,7,4
33.98,1594204537.000,39.994328,-0.069486,126.000,345.700,35.0,7,4
33.992,1594204537.000,39.994328,-0.069486,126.000,345.700,35.0,7,4
34.99100000000001,1594204538.000,39.994330,-0.069500,126.000,344.800,36.0,7,5
34.998,1594204538.000,39.994330,-0.069500,126.000,344.800,36.0,7,5
35.955000000000005,1594204539.000,39.994358,-0.069484,124.000,347.300,36.0,7,4
35.98,1594204539.000,39.994358,-0.069484,124.000,347.300,36.0,7,4
36.99100000000001,1594204540.000,39.994346,-0.069521,125.000,335.900,33.0,8,4
37.00000000000001,1594204540.000,39.994346,-0.069521,125.000,335.900,33.0,8,4
37.955000000000005,1594204541.000,39.994351,-0.069505,128.000,338.900,34.0,8,4
37.970000000000006,1594204541.000,39.994351,-0.069505,128.000,338.900,34.0,8,4
38.964999999999996,1594204542.000,39.994357,-0.069526,128.000,339.400,35.0,8,4
38.979000000000006,1594204542.000,39.994357,-0.069526,128.000,339.400,35.0,8,4
39.949000000000005,1594204543.000,39.994354,-0.069534,129.000,339.900,39.0,7,4
39.955999999999996,1594204543.000,39.994354,-0.069534,129.000,339.900,39.0,7,4
114.93200000000002,1594204618.000,39.993760,-0.069278,155.000,145.000,95.0,6,4
114.957,1594204618.000,39.993760,-0.069278,155.000,145.000,95.0,6,4
115.91,1594204619.000,39.993729,-0.069281,161.000,105.000,38.0,6,4
115.92500000000001,1594204619.000,39.993729,-0.069281,161.000,105.000,38.0,6,4
117.928,1594204621.000,39.993754,-0.069235,164.000,62.100,54.0,6,4
117.94400000000002,1594204621.000,39.993754,-0.069235,164.000,62.100,54.0,6,4
118.929,1594204622.000,39.993793,-0.069197,173.000,34.200,56.0,6,4
118.94900000000001,1594204622.000,39.993793,-0.069197,173.000,34.200,56.0,6,4
119.928,1594204623.000,39.993849,-0.069179,175.000,17.000,55.0,6,4
119.936,1594204623.000,39.993849,-0.069179,175.000,17.000,55.0,6,4
237.94899999999998,1594204741.000,39.993959,-0.069487,108.000,72.400,32.0,6,5
237.994,1594204741.000,39.993959,-0.069487,108.000,72.400,32.0,6,5
238.956,1594204742.000,39.993964,-0.069468,113.000,77.000,36.0,5,5
238.977,1594204742.000,39.993964,-0.069468,113.000,77.000,36.0,5,5
239.97400000000002,1594204743.000,39.993982,-0.069383,116.000,78.500,25.0,4,4
239.99500000000003,1594204743.000,39.993982,-0.069383,116.000,78.500,25.0,4,4
240.958,1594204744.000,39.993985,-0.069370,123.000,82.100,29.0,5,5
240.987,1594204744.000,39.993985,-0.069370,123.000,82.100,29.0,5,5
241.98100000000002,1594204745.000,39.993987,-0.069348,125.000,84.900,27.0,5,5
241.991,1594204745.000,39.993987,-0.069348,125.000,84.900,27.0,5,5
242.975,1594204746.000,39.993983,-0.069335,126.000,88.000,28.0,8,5
242.989,1594204746.000,39.993983,-0.069335,126.000,88.000,28.0,8,5
243.98600000000002,1594204747.000,39.993987,-0.069316,128.000,88.500,32.0,8,5
243.994,1594204747.000,39.993987,-0.069316,128.000,88.500,32.0,8,5
244.97299999999998,1594204748.000,39.993998,-0.069285,131.000,88.900,32.0,8,5
244.98999999999998,1594204748.000,39.993998,-0.069285,131.000,88.900,32.0,8,5
245.965,1594204749.000,39.993998,-0.069274,133.000,94.800,32.0,8,5
245.98499999999999,1594204749.000,39.993998,-0.069274,133.000,94.800,32.0,8,5
246.982,1594204750.000,39.993998,-0.069279,133.000,92.000,35.0,8,5
246.98800000000003,1594204750.000,39.993998,-0.069279,133.000,92.000,35.0,8,5
247.98800000000003,1594204751.000,39.993991,-0.069280,132.000,93.600,37.0,8,5
247.99500000000003,1594204751.000,39.993991,-0.069280,132.000,93.600,37.0,8,5
